"","sex","race_eth","dm","estimate","CI_lower","CI_upper","variable","value"
"126","WOMEN","Hispanic","PreDM",0.615897471035547,0.603550484216923,0.628244457854171,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"127","WOMEN","NHBlack","DM",0.681612957874805,0.663263183885954,0.699962731863656,"Waist-to-Height ratio","   0.7 (0.7, 0.7)"
"128","WOMEN","NHBlack","NoDM",0.571390404632819,0.559651716872593,0.583129092393045,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"129","WOMEN","NHBlack","PreDM",0.633623301294982,0.616866205145781,0.650380397444182,"Waist-to-Height ratio","   0.6 (0.6, 0.7)"
"130","WOMEN","NHWhite","DM",0.686914556814346,0.660443735190068,0.713385378438624,"Waist-to-Height ratio","   0.7 (0.7, 0.7)"
"131","WOMEN","NHWhite","NoDM",0.546607182691768,0.537356861135672,0.555857504247864,"Waist-to-Height ratio","   0.5 (0.5, 0.6)"
"132","WOMEN","NHWhite","PreDM",0.610994237558596,0.597553532101638,0.624434943015554,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"133","MEN","Asian","DM",0.554039052748433,0.539684200524295,0.56839390497257,"Waist-to-Height ratio","   0.6 (0.5, 0.6)"
"134","MEN","Asian","NoDM",0.508235441229145,0.496760591752229,0.51971029070606,"Waist-to-Height ratio","   0.5 (0.5, 0.5)"
"135","MEN","Asian","PreDM",0.532523693281871,0.52436855798916,0.540678828574583,"Waist-to-Height ratio","   0.5 (0.5, 0.5)"
"136","MEN","Hispanic","DM",0.622238594694415,0.602282627869195,0.642194561519634,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"137","MEN","Hispanic","NoDM",0.560521625226981,0.548800217459188,0.572243032994774,"Waist-to-Height ratio","   0.6 (0.5, 0.6)"
"138","MEN","Hispanic","PreDM",0.58949129552473,0.580812442983257,0.598170148066203,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"139","MEN","NHBlack","DM",0.613737807860597,0.587321653720435,0.640153962000758,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
"140","MEN","NHBlack","NoDM",0.504326929161009,0.49261452009684,0.516039338225178,"Waist-to-Height ratio","   0.5 (0.5, 0.5)"
"141","MEN","NHBlack","PreDM",0.549400294459153,0.535372546305536,0.563428042612769,"Waist-to-Height ratio","   0.5 (0.5, 0.6)"
"142","MEN","NHWhite","DM",0.632850289072926,0.611057782084273,0.654642796061578,"Waist-to-Height ratio","   0.6 (0.6, 0.7)"
"143","MEN","NHWhite","NoDM",0.53622667503355,0.528640029596879,0.54381332047022,"Waist-to-Height ratio","   0.5 (0.5, 0.5)"
"144","MEN","NHWhite","PreDM",0.571735167822254,0.563690547767068,0.579779787877441,"Waist-to-Height ratio","   0.6 (0.6, 0.6)"
